,device_id
0,DD04108401266
1,DD04108624381
2,DD04108624683
3,DD04108625556
4,DD04108627065
5,DD04108627645
6,DD04108746744
7,DD04108747038
8,DD14108624198
9,DD14108624638
10,DD14108625517
11,DD14108626161
12,DD14108747277
13,DD24108396973
14,DD24108397380
15,DD24108411689
16,DD24108625051
17,DD24108626539
18,DD24108628289
19,DD24108747257
20,DD24108747526
21,DD34108397148
22,DD34108399074
23,DD34108624640
24,DD34108625629
25,DD34108625630
26,DD34108626977
27,DD34108627045
28,DD34108628335
29,DD34108744929
30,DD34108747528
31,DD34108848768
32,DD44108397240
33,DD44108398872
34,DD44108399262
35,DD44108411547
36,DD44108624400
37,DD44108624580
38,DD44108625545
39,DD44108625594
40,DD44108625704
41,DD44108744903
42,DD44108746880
43,DD44108746900
44,DD44108746987
45,DD44108747374
46,DD44108747529
47,DD44108847037
48,DD44108853265
49,DD54108225423
50,DD54108262430
51,DD54108397703
53,DD54108411825
54,DD54108626116
55,DD54108628224
56,DD54108746822
57,DD54108746925
58,DD54108847205
59,DD64108397079
60,DD64108397167
61,DD64108397465
62,DD64108399284
63,DD64108401501
64,DD64108624151
65,DD64108626772
66,DD64108742682
67,DD64108744906
68,DD64108846336
69,DD74108396921
70,DD74108401113
71,DD74108410382
72,DD74108411769
73,DD74108744911
74,DD74108746871
75,DD74108746939
76,DD74108747039
77,DD74108848762
78,DD84108188826
79,DD84108396707
80,DD84108399040
81,DD84108399233
82,DD84108399362
83,DD84108624610
84,DD94108397047
85,DD94108411897
86,DD94108624202
87,DD94108624635
88,DD94108624680
89,DD94108626233
90,DD94108746433
91,DD94108746922
92,DD94108747299
93,DD94108747364
94,DDA4108397214
95,DDA4108411830
96,DDA4108625523
97,DDA4108746784
98,DDA4108746853
99,DDA4108747029
100,DDA4108747030
101,DDB4108261489
102,DDB4108397026
103,DDB4108397228
104,DDB4108399238
105,DDB4108399277
106,DDB4108624595
107,DDB4108624630
108,DDB4108625708
109,DDB4108626367
110,DDB4108743355
111,DDB4108747305
112,DDC4108407073
113,DDC4108409826
114,DDC4108624172
115,DDC4108625658
116,DDC4108625710
117,DDC4108625891
118,DDC4108626261
119,DDC4108746813
120,DDC4108747255
121,DDD4108225405
122,DDD4108397463
123,DDD4108400047
124,DDD4108401220
125,DDD4108401239
126,DDD4108401690
127,DDD4108411828
128,DDD4108626315
129,DDD4108626580
130,DDD4108627802
131,DDD4108746420
132,DDD4108747313
133,DDE4108397158
134,DDE4108397189
135,DDE4108400925
136,DDE4108411773
137,DDE4108626592
138,DDE4108627067
139,DDE4108628246
140,DDF4108181429
141,DDF4108397100
142,DDF4108397389
143,DDF4108625682
144,DDF4108744937
145,DDF4108747359
146,ED055CC184C2A
147,ED855CC1AF620
148,EDA55CC1AF4FA
149,EDB55CC1AF417
